,author_id,doc_id,GLAUx?,filename,subcorpus,author,title,date_avr,provenience,tlg_epithet,n_sentences,wordcount
0,tlg0001,tlg0001.tlg001,True,tlg0001.tlg001.perseus-grc2.xml,classical,Apollonius Rhodius,Argonautica,-2.5,pagan,Epici/-ae,3252,38822
1,tlg0003,tlg0003.tlg001,True,tlg0003.tlg001.perseus-grc2.xml,classical,Thucydides,The Peloponnesian War,-4.5,pagan,Historici/-ae,6068,150118
2,tlg0004,tlg0004.tlg001,False,tlg0004.tlg001.perseus-grc1.xml,roman,Diogenes Laertius,Lives of Eminent Philosophers,2.5,pagan,Biographi,10245,110763
3,tlg0005,tlg0005.tlg001,True,tlg0005.tlg001.perseus-grc1.xml,classical,Theocritus,Idylls ,-3.0,pagan,Bucolici,1982,19200
4,tlg0005,tlg0005.tlg002,True,tlg0005.tlg002.perseus-grc1.xml,classical,Theocritus,Epigrams ,-3.0,pagan,Bucolici,152,1734
5,tlg0005,tlg0005.tlg003,False,tlg0005.tlg003.1st1K-grc1.xml,classical,Theocritus,Syrinx,-3.0,pagan,Bucolici,3,77
6,tlg0006,tlg0006.tlg001,False,tlg0006.tlg001.perseus-grc2.xml,classical,Euripides,Cyclops,-4.5,pagan,Tragici,529,4141
7,tlg0006,tlg0006.tlg004,False,tlg0006.tlg004.perseus-grc2.xml,classical,Euripides,Ἡρακλεῖδαι,-4.5,pagan,Tragici,662,6272
8,tlg0006,tlg0006.tlg005,False,tlg0006.tlg005.perseus-grc2.xml,classical,Euripides,Ἱππόλυτος,-4.5,pagan,Tragici,918,8257
9,tlg0006,tlg0006.tlg006,False,tlg0006.tlg006.perseus-grc2.xml,classical,Euripides,Ἀνδρομάχη,-4.5,pagan,Tragici,712,7397
10,tlg0006,tlg0006.tlg007,True,tlg0006.tlg007.perseus-grc2.xml,classical,Euripides,Ἑκάβη,-4.5,pagan,Tragici,754,7340
11,tlg0006,tlg0006.tlg008,True,tlg0006.tlg008.perseus-grc2.xml,classical,Euripides,Ἱκέτιδες,-4.5,pagan,Tragici,721,7166
12,tlg0006,tlg0006.tlg009,True,tlg0006.tlg009.perseus-grc2.xml,classical,Euripides,Ἡρακλῆς,-4.5,pagan,Tragici,842,7977
